Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,385,4,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,385,4,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,371,3,"M:System.Data.Services.IUpdatable.SetValue(System.Object,System.String,System.Object)",,,,,"((IUpdatable)this).SetValue(targetResource, propertyName, propertyValue);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,358,5,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Failed to save changes.  See inner exception for details"", ex);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,358,5,"M:System.Data.Services.DataServiceException.#ctor(System.String,System.Exception)",,,,,"throw new DataServiceException(""Failed to save changes.  See inner exception for details"", ex);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,308,4,"M:System.Data.Services.IUpdatable.SetValue(System.Object,System.String,System.Object)",,,,,"update.SetValue(resource, propName, value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,283,5,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(string.Concat(""Could not determine the collection type of the "", propertyName, "" property.""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,283,5,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(string.Concat(""Could not determine the collection type of the "", propertyName, "" property.""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,267,4,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,267,4,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,242,4,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,242,4,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,223,5,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Incorrect Type Returned"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,223,5,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Incorrect Type Returned"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,148,5,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(string.Concat(""Could not determine the collection type of the "", propertyName, "" property.""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,148,5,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(string.Concat(""Could not determine the collection type of the "", propertyName, "" property.""));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,132,4,T:System.Data.Services.DataServiceException,,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,132,4,M:System.Data.Services.DataServiceException.#ctor(System.String),,,,,"throw new DataServiceException(""Type not recognized as a valid type for this Context"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,14,80,T:System.Data.Services.IExpandProvider,,,,,IExpandProvider
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Libraries\NHibernate\NHibernate.Linq\NHibernate.Linq.csproj,File,Libraries\NHibernate\NHibernate.Linq\NHibernateContext.cs,14,68,T:System.Data.Services.IUpdatable,,,,,IUpdatable
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,Microsoft.AspNet.Mvc 5.3.0,,,,,"Microsoft.AspNet.Mvc, 5.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,Microsoft.AspNet.Razor 3.3.0,,,,,"Microsoft.AspNet.Razor, 3.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,Microsoft.AspNet.WebPages 3.3.0,,,,,"Microsoft.AspNet.WebPages, 3.3.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,Microsoft.CodeDom.Providers.DotNetCompilerPlatform 4.1.0,,,,,"Microsoft.CodeDom.Providers.DotNetCompilerPlatform, 4.1.0  Recommendation:  Package functionality included with new framework reference"
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,Microsoft.Web.Infrastructure 1.0.0.0,,,,,"Microsoft.Web.Infrastructure, 1.0.0.0  Recommendation:  Package functionality included with new framework reference"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net10.0"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Recipes\Executors\AliasStep.cs,51,28,"M:System.Web.Routing.RouteValueDictionary.Add(System.String,System.Object)",,,,,"rvd.Add(routeValue.Attribute(""Key"").Value, routeValue.Attribute(""Value"").Value);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Recipes\Executors\AliasStep.cs,43,20,T:System.Web.Routing.RouteValueDictionary,,,,,var rvd = new RouteValueDictionary();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Recipes\Executors\AliasStep.cs,43,20,M:System.Web.Routing.RouteValueDictionary.#ctor,,,,,var rvd = new RouteValueDictionary();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Controllers\AdminController.cs,315,12,P:System.Web.Routing.VirtualPathData.VirtualPath,,,,,"return _aliasService.LookupVirtualPaths(routeValues, HttpContext)                  .Select(vpd => vpd.VirtualPath)                  .FirstOrDefault();"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Controllers\AdminController.cs,312,12,T:System.Web.Routing.RouteValueDictionary,,,,,"var routeValues = _aliasService.Get(aliasPath.TrimStart('/', '\\'));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Controllers\AdminController.cs,227,12,P:System.Web.Routing.VirtualPathData.VirtualPath,,,,,"var virtualPaths = _aliasService.LookupVirtualPaths(routeValues, HttpContext)                  .Select(vpd => vpd.VirtualPath);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Orchard.Web\Modules\Orchard.Alias\Orchard.Alias.csproj,File,Orchard.Web\Modules\Orchard.Alias\Controllers\AdminController.cs,222,12,T:System.Web.Routing.RouteValueDictionary,,,,,var routeValues = _aliasService.Get(path);
